state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
"Tripura","16","Dhalai","269","Chawmanu","2411","Dhanyaram Karbari Para High School","Makarchhara","160303006","799273","","DHANNYA RAM KARBARI PARA HIGH SCHOOL","16030300602","Pri. Upper Pri. and Secondary Only","Co. Educational","Department of Education","1981","91.99722","23.85886","Operational","Rural","1.0","10.0","State Board","","0.0","11.0","11.0","10.0","0.0","26.0","29.0","36.0","25.0","39.0","67.0","77.0","51.0","47.0","59.0","0.0","0.0","456.0","456.0"
"Odisha","21","Ganjam","354","Sanakhemundi","3383","Hatapada","Palaspur","211920019","","","PALASPUR P.U.P.S.","21192001901","Primary with Upper Primary","Co. Educational","Department of Education","1931","84.576795","19.44034","Operational","Rural","1.0","8.0","","","0.0","6.0","0.0","7.0","0.0","11.0","19.0","22.0","24.0","19.0","35.0","34.0","24.0","0.0","0.0","0.0","0.0","188.0","188.0"
"Madhya Pradesh","23","Satna","426","Sohawal","3980","Ghss Madhavgarh","Korihai(Matehna)","231307294","485113","","GPS KORIHAI","23130729401","Primary","Co. Educational","Department of Education","1998","80.905483","24.580572","Operational","Rural","1.0","5.0","","","0.0","2.0","2.0","2.0","0.0","4.0","4.0","3.0","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","19.0"
"Assam","18","Biswanath","705","Chaiduar","2708","Sessa","Basisthapur","182807024","784178","","BASISTHAPUR LPS","18280702401","Primary","Co. Educational","Department of Education","1975","93.1942","26.815567","Operational","Rural","1.0","5.0","","","0.0","3.0","0.0","2.0","6.0","5.0","4.0","6.0","7.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30.0","36.0"
"Gujarat","24","Arvalli","672","Malpur","4225","Ubhran","Ubhran","242704086","383335","","SHRI KA CHU SHAH PRIMARY SCHOOL","24270408603","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","1985","73.364047","23.270042","Operational","Rural","1.0","8.0","","","0.0","8.0","0.0","8.0","0.0","25.0","22.0","28.0","21.0","21.0","28.0","23.0","34.0","0.0","0.0","0.0","0.0","202.0","202.0"
"West Bengal","19","Paschim Medinipur","None","Midnapore Sadar","None","Palasia Pry Crc","Monidaha-3","192001025","","","BENASULI PRY","19200102505","Primary","Co. Educational","Department of Education","2004","87.23916","22.47027","Operational","Rural","1.0","4.0","","","0.0","5.0","1.0","4.0","20.0","12.0","16.0","14.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60.0","80.0"
"Chhattisgarh","22","Balrampur","649","Ramchandrapur","3730","Barvahi","Barwahi","222609027","","","N.P.S.BHUSHARIYAPARA","22260902705","Primary","Co. Educational","Department of Education","2005","83.4006","24.0236","Operational","Rural","1.0","5.0","","","0.0","2.0","4.0","2.0","0.0","6.0","3.0","9.0","2.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","25.0"
"Bihar","10","Banka","190","","None","U.M.S.Amjora","Jagatpur","102309096","813103","","M.S. JAGATPUR","10230909602","Primary with Upper Primary","Co. Educational","Department of Education","1968","87.07924","24.893873","Operational","Rural","1.0","8.0","","","0.0","11.0","0.0","6.0","0.0","41.0","27.0","40.0","33.0","35.0","59.0","61.0","56.0","0.0","0.0","0.0","0.0","352.0","352.0"
"Tamil Nadu","33","Kanchipuram","574","","None","Pums, Pazhamathur","Karnakarachri","330311008","","","PUPS KARUNAGARACHERRY","33031100801","Primary","Co. Educational","Department of Education","1974","79.889932","12.620307","Operational","Rural","1.0","5.0","","","0.0","3.0","0.0","2.0","0.0","6.0","8.0","6.0","2.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","31.0"
"Odisha","21","Kalahandi","358","Lanjigarh","3418","Bhatangpadar","Nandakana","212610096","","","GOVT PS NANDAKANA","21261009601","Primary","Co. Educational","Department of Education","2007","83.252155","19.905543","Operational","Rural","1.0","5.0","","","0.0","1.0","0.0","3.0","0.0","8.0","5.0","9.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.0","28.0"
